"ลำดับ
ที่",ชื่อถนน,ช่วงถนนที่ทำการสำรวจ,"ความยาว
(กิโลเมตร)",อัตราเร็วเฉลี่ยในการเดินทาง ปี พ.ศ. 2568  (กม./ชม.),,,
,,,,เร่งด่วนเช้า (เวลา 7.00 น.- 9.00 น.),,เร่งด่วนเย็น (เวลา 16.00 น.-18.00 น.),
,,,,ขาเข้า,ขาออก,ขาเข้า,ขาออก
1,งามวงศ์วาน,แยกพงษ์เพชร ถึง แยกเกษตร,3.77,19.93,31.75,20.95,33.04
2,จรัญสนิทวงศ์,สุดเขตกรุงเทพฯ  ถึง แยกมไหสวรรย์,14.04,24.27,30.93,28.16,30.58
3,เจริญกรุง (ส่วนต้น),แยกทรงวาด ถึง แยกวงเวียน รด.,2.70,14.62,14.69,10.38,13.58
4,เจริญกรุง (ส่วนปลาย),สุดถนนเจริญกรุง ถึง แยกทรงวาด,5.83,14.28,15.86,15.57,13.09
5,เจริญนคร,แยกราษฎร์บูรณะ ถึง แยกคลองสาน,7.65,22.50,26.97,22.21,26.78
6,แจ้งวัฒนะ,แยกคลองประปา ถึง แยกวงเวียนอนุสาวรีย์หลักสี่,5.01,26.76,29.85,26.06,25.70
7,นครราชสีมา,แยกร่วมจิตต์ ถึง แยกประชาเกษม,2.13,10.17,15.13,11.61,11.74
8,นราธิวาสราชนครินทร์,แยกพระรามที่ 3-นราธิวาส ถึง แยกสุรวงศ์-นราธิวาส,4.36,11.84,19.18,15.49,13.90
9,นวมินทร์,แยกรามอินทรา กม.8 ถึง แยกบางกะปิ,8.84,22.59,26.71,24.11,26.94
10,บรมราชชนนี,แยกพุทธมณฑลสาย 2 ถึง แยกอรุณอมรินทร์,10.96,39.49,65.20,40.37,54.41
11,บางนา - ตราด,แยกทางแยกต่างระดับศรีเอี่ยม ถึง แยกสรรพาวุธ,5.85,15.77,34.12,24.66,28.48
12,ประชาธิปก,แยกประชาอุทิศ ถึง แยกบ้านแขก,7.97,12.60,18.35,12.66,12.90
13,ประชาสงเคราะห์,แยกตลาดห้วยขวาง ถึง ถนนจตุรทิศ,3.50,14.65,18.16,11.99,17.04
14,ประเสริฐมนูกิจ,แยกประเสริฐมนูกิจ-ต่างระดับรามอินทรา ถึง แยกเกษตร,12.29,19.03,29.47,29.50,27.73
15,พญาไท,แยกอนุสาวรีย์ชัยฯ ถึง แยกสามย่าน,3.69,11.79,13.59,7.77,9.59
16,พระราม 9,ทางแยกต่างระดับศรีนครินทร์ ถึง แยกพระราม 9,8.39,19.58,45.25,30.02,36.21
17,พระรามที่ 1,แยกเพลินจิต ถึง แยกกษัตริย์ศึก,3.40,15.54,13.18,8.26,6.01
18,พระรามที่ 2,แยกต่างระดับบางขุนเทียน ถึง แยกบางปะแก้ว,9.69,29.56,49.34,35.47,43.38
19,พระรามที่ 3,แยก ณ ระนอง ถึง แยกถนนตก,11.39,45.07,32.06,40.73,29.52
20,พระรามที่ 4,แยกพระโขนง ถึง แยกหมอมี,9.45,16.42,17.26,15.00,14.58
21,พระรามที่ 5,แยกสะพานแดง ถึง แยกพาณิชยการ,3.80,14.61,16.29,15.19,13.66
22,พระรามที่ 6,แยกสะพานดำ ถึง แยกอุรุพงษ์,4.87,11.30,12.47,12.80,12.78
23,พหลโยธิน (ส่วนต้น),แยกวงเวียนอนุสาวรีย์หลักสี่ ถึง แยกอนุสาวรีย์ชัยฯ,13.73,13.71,27.77,20.78,19.56
24,พหลโยธิน (ส่วนปลาย),แยกโรงเรียนนายเรืออากาศ (คปอ.) ถึง แยกวงเวียนอนุสาวรีย์หลักสี่,6.20,16.84,20.02,20.22,18.32
25,พัฒนาการ,แยกเฉลิมพระเกียรติ ร.9-พัฒนาการ ถึง แยกคลองตัน,10.27,21.02,41.54,23.07,32.05
26,พิษณุโลก,แยกยมราช ถึง แยกพิษณุโลก-สามเสน,2.27,21.66,15.07,22.74,13.31
