"ลำดับ
ที่",ชื่อถนน,ช่วงถนนที่ทำการสำรวจ,อัตราเร็วเฉลี่ยในการเดินทางพื้นที่ชั้นกลางกรุงเทพมหานครในช่วงเร่งด่วน (กม./ชม.),,,,,,,,,,,,,,,,,
,,,ปี 2560,,ปี 2561,,ปี 2562,,ปี 2563,,ปี 2564,,ปี 2565,,ปี 2566,,ปี 2567,,ปี 2568,
,,,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก
1,งามวงศ์วาน,แยกพงษ์เพชร ถึง แยกเกษตร,20.48,25.92,25.80,28.49,24.81,24.94,26.21,22.59,35.56,36.18,20.13,21.00,22.60,25.13,23.66,29.51,20.44,32.39
2,เจริญนคร,แยกราษฎร์บูรณะ ถึง แยกคลองสาน,26.90,28.52,27.53,29.66,23.45,25.78,23.53,30.67,29.72,30.30,24.31,31.34,26.05,27.61,20.76,26.45,22.35,26.88
3,นวมินทร์,แยกรามอินทรา กม.8 ถึง แยกบางกะปิ,24.19,26.44,23.46,26.63,23.14,23.16,22.54,24.81,26.88,29.50,22.37,24.51,25.99,27.53,22.41,28.51,23.35,26.82
4,ประชาธิปก,แยกประชาอุทิศ ถึง แยกบ้านแขก,17.22,20.38,17.31,22.31,15.23,19.05,18.19,23.55,19.68,25.13,16.26,23.95,15.05,17.44,12.97,16.92,12.63,15.62
5,ประเสริฐมนูกิจ,แยกประเสริฐมนูกิจ-ต่างระดับรามอินทรา ถึง แยกเกษตร,21.26,26.93,22.16,23.73,20.62,20.99,19.71,25.26,28.73,26.16,20.59,23.82,21.77,24.70,23.03,27.46,24.26,28.60
6,พระราม 9,ทางแยกต่างระดับศรีนครินทร์ ถึง แยกพระราม 9,26.68,43.41,30.99,40.03,32.57,36.66,26.85,34.38,35.35,42.00,28.21,42.81,32.86,42.26,26.76,37.17,24.80,40.73
7,พระรามที่ 3,แยก ณ ระนอง ถึง แยกถนนตก,45.96,34.49,45.44,33.46,41.26,24.51,38.29,22.43,42.95,34.93,42.01,28.43,44.16,38.05,45.93,36.72,42.90,30.79
8,พหลโยธิน,แยกวงเวียนอนุสาวรีย์หลักสี่ ถึง แยกลาดพร้าว,12.39,16.74,13.39,16.27,17.97,25.12,21.83,31.69,31.77,34.00,22.22,33.25,27.29,33.66,20.64,25.16,19.24,24.17
9,พัฒนาการ,แยกเฉลิมพระเกียรติ ร.9-พัฒนาการ ถึง แยกคลองตัน,14.69,22.82,16.89,25.75,18.84,26.30,16.06,20.85,28.42,32.49,19.17,30.42,19.75,29.42,23.88,36.84,22.05,36.80
10,เพชรเกษม,แยกราชพฤกษ์ ถึง แยกวงเวียนใหญ่,26.87,27.95,22.74,33.44,23.04,26.83,27.18,31.96,32.78,40.11,30.61,29.82,27.23,36.47,6.35,7.97,5.58,7.68
11,เพชรบุรี,แยกคลองตัน ถึง แยกอโศก-เพชร,13.57,21.33,12.55,17.98,14.27,22.08,14.52,18.48,19.44,26.31,14.07,21.19,13.24,20.78,11.27,21.26,10.58,19.07
12,รัชดาภิเษก,แยกวงศ์สว่าง ถึง แยกพระราม 9,20.77,26.62,20.18,30.16,27.68,38.93,26.36,42.43,30.30,46.49,26.03,41.52,27.20,43.07,25.69,35.16,25.60,39.37
13,รามคำแหง,แยกสวนสน  ถึง แยกคลองตัน,16.97,22.59,12.28,16.13,13.07,14.78,13.50,14.25,13.34,14.56,15.21,17.44,21.39,33.19,20.58,31.57,18.19,28.62
14,รามอินทรา,แยกเมืองมีน ถึง แยกวงเวียนอนุสาวรีย์หลักสี่,22.97,38.35,22.21,27.69,21.59,23.00,25.15,29.07,28.19,31.16,25.46,31.78,29.26,34.72,25.18,29.06,28.96,33.55
15,ลาดพร้าว,แยกบางกะปิ ถึง แยกลาดพร้าว,15.15,16.91,10.73,17.18,11.79,13.71,12.75,17.37,19.76,21.83,14.45,17.75,17.11,20.17,16.00,23.63,18.28,26.16
16,วิภาวดีรังสิต,แยกหลักสี่ ถึง แยกลาดพร้าว,25.78,42.36,26.07,52.16,30.94,43.62,40.22,53.70,50.60,54.79,42.31,48.59,33.87,44.49,29.76,48.12,27.85,47.31
17,ศรีนครินทร์,ทางแยกต่างระดับศรีเอี่ยม ถึง สามแยกบางกะปิ,20.91,25.16,18.52,22.74,15.42,20.90,20.26,23.17,23.11,26.33,19.79,23.47,25.27,27.77,30.37,29.94,27.05,28.52
18,ศรีบูรพา,แยกการเคหะ ถึง แยกบ้านม้า,14.21,14.75,15.71,19.51,17.12,17.19,12.75,14.13,19.26,16.60,13.16,14.99,14.71,14.70,14.14,16.89,11.91,12.45
19,สุขุมวิท,แยกบางนา ถึง แยกเพลินจิต,12.34,13.13,11.19,13.48,10.89,12.96,11.78,13.29,19.35,20.12,11.55,14.67,11.40,16.25,11.05,13.32,11.47,14.13
20,เสรีไทย,แยกเมืองมีน ถึง แยกบางกะปิ,26.97,27.76,29.44,25.62,28.28,25.37,27.82,26.86,28.75,26.47,27.51,26.56,26.28,26.62,22.01,23.24,20.40,23.10
