"ลำดับ
ที่",ชื่อถนน,ช่วงถนนที่ทำการสำรวจ,"ความยาว
(กิโลเมตร)",เวลาเฉลี่ยในการเดินทางบนถนน ปี พ.ศ. 2568   (นาที),,,
,,,,เร่งด่วนเช้า (เวลา 7.00 น.- 9.00 น.),,เร่งด่วนเย็น (เวลา 16.00 น.-18.00 น.),
,,,,ขาเข้า,ขาออก,ขาเข้า,ขาออก
1,งามวงศ์วาน,แยกพงษ์เพชร ถึง แยกเกษตร,3.77,11.36,7.13,10.80,6.85
2,จรัญสนิทวงศ์,สุดเขตกรุงเทพฯ  ถึง แยกมไหสวรรย์,14.04,34.70,27.23,29.91,27.54
3,เจริญกรุง (ส่วนต้น),แยกทรงวาด ถึง แยกวงเวียน รด.,2.70,11.07,11.01,15.60,11.92
4,เจริญกรุง (ส่วนปลาย),สุดถนนเจริญกรุง ถึง แยกทรงวาด,5.83,24.48,22.05,22.45,26.71
5,เจริญนคร,แยกราษฎร์บูรณะ ถึง แยกคลองสาน,7.65,20.40,17.02,20.67,17.14
6,แจ้งวัฒนะ,แยกคลองประปา ถึง แยกวงเวียนอนุสาวรีย์หลักสี่,5.01,11.22,10.06,11.53,11.69
7,นครราชสีมา,แยกร่วมจิตต์ ถึง แยกประชาเกษม,2.13,12.57,8.45,11.01,10.90
8,นราธิวาสราชนครินทร์,แยกพระรามที่ 3-นราธิวาส ถึง แยกสุรวงศ์-นราธิวาส,4.36,22.09,13.63,16.88,18.81
9,นวมินทร์,แยกรามอินทรา กม.8 ถึง แยกบางกะปิ,8.84,23.49,19.87,22.00,19.69
10,บรมราชชนนี,แยกพุทธมณฑลสาย 2 ถึง แยกอรุณอมรินทร์,10.96,16.65,10.09,16.29,12.09
11,บางนา - ตราด,แยกทางแยกต่างระดับศรีเอี่ยม ถึง แยกสรรพาวุธ,5.85,22.26,10.29,14.24,12.33
12,ประชาธิปก,แยกประชาอุทิศ ถึง แยกบ้านแขก,7.97,37.95,26.05,37.77,37.07
13,ประชาสงเคราะห์,แยกตลาดห้วยขวาง ถึง ถนนจตุรทิศ,3.50,14.33,11.57,17.52,12.33
14,ประเสริฐมนูกิจ,แยกประเสริฐมนูกิจ-ต่างระดับรามอินทรา ถึง แยกเกษตร,12.29,38.76,25.02,24.99,26.59
15,พญาไท,แยกอนุสาวรีย์ชัยฯ ถึง แยกสามย่าน,3.69,18.79,16.31,28.53,23.11
16,พระราม 9,ทางแยกต่างระดับศรีนครินทร์ ถึง แยกพระราม 9,8.39,25.70,11.12,16.76,13.89
17,พระรามที่ 1,แยกเพลินจิต ถึง แยกกษัตริย์ศึก,3.40,13.12,15.47,24.69,33.95
18,พระรามที่ 2,แยกต่างระดับบางขุนเทียน ถึง แยกบางปะแก้ว,9.69,19.68,11.79,16.40,13.41
19,พระรามที่ 3,แยก ณ ระนอง ถึง แยกถนนตก,11.39,15.17,21.32,16.78,23.16
20,พระรามที่ 4,แยกพระโขนง ถึง แยกหมอมี,9.45,34.52,32.85,37.79,38.88
21,พระรามที่ 5,แยกสะพานแดง ถึง แยกพาณิชยการ,3.80,15.61,14.00,15.01,16.69
22,พระรามที่ 6,แยกสะพานดำ ถึง แยกอุรุพงษ์,4.87,25.86,23.42,22.83,22.86
23,พหลโยธิน (ส่วนต้น),แยกวงเวียนอนุสาวรีย์หลักสี่ ถึง แยกอนุสาวรีย์ชัยฯ,13.73,60.09,29.67,39.66,42.12
24,พหลโยธิน (ส่วนปลาย),แยกโรงเรียนนายเรืออากาศ (คปอ.) ถึง แยกวงเวียนอนุสาวรีย์หลักสี่,6.20,22.08,18.58,18.40,20.30
25,พัฒนาการ,แยกเฉลิมพระเกียรติ ร.9-พัฒนาการ ถึง แยกคลองตัน,10.27,29.31,14.83,26.70,19.22
26,พิษณุโลก,แยกยมราช ถึง แยกพิษณุโลก-สามเสน,2.27,6.29,9.05,6.00,10.25
